2020.10.22 11:49:22: Added Thomas Anderson Teacher
2020.10.22 11:49:22: Added Han Solo Teacher
2020.10.22 11:49:22: Added Princess Leia Teacher
2020.10.22 11:49:22: Added Severus Snape Teacher
2020.10.22 11:49:22: Added Dolores Umbridge Teacher
2020.10.22 11:49:22: Added Peter Pan Student to class class 1A, profile humane
2020.10.22 11:49:22: Added Anna Shirley Student to class class 1A, profile humane
2020.10.22 11:49:22: Added Harry Potter Student to class class 1A, profile humane
2020.10.22 11:49:22: Added Ron Weasley Student to class class 1A, profile humane
2020.10.22 11:49:22: Added subject Math to class 1A, profile humane
2020.10.22 11:49:22: Added subject English to class 1A, profile humane
2020.10.22 11:49:22: Added subject Computer Science to class 1A, profile humane
2020.10.22 11:49:22: Added subject Chemistry to class 1A, profile humane
2020.10.22 11:49:22: Added subject Potions to class 1A, profile humane
2020.10.22 11:49:22: Added subject Black Magic Defense to class 1A, profile humane
2020.10.22 11:49:22: Added class 1A, profile humane
